0,1,2
AFENET Nigeria,Africa Field Epidemiology Network-Nigeria,
FMOH&SW,Federal Ministry of Health and Social Welfare,
IHR,International Health Regulations,
JEE,Joint External Evaluation,
MDAs,"Ministries, Departments and Agencies",
NCDC,Nigeria Centre for Disease Control and Prevention,
UKHSA,United Kingdom Health Security Agency,
WHO,World Health Organization,
PREVENT,"Legal InstrumentsFinancingIHR Coordination, National IHR Focal Point Functions and AdvocacyAntimicrobial ResistanceZoonotic DiseasesFood SafetyBiosafety and BiosecurityImmunization",
DETECT,National Laboratory SystemSurveillanceHuman Resources,
RESPOND,Health Emergency ManagementLinking Public Health with Security AuthoritiesHealth Services ProvisionInfection Prevention and ControlRisk Communication and Community Engagement,
IHR RELATED HAZARDS AND POINTS OF ENTRY AND BORDER HEALTH,Points Of Entry and Border HealthChemical EventsRadiation Emergencies,
,,
,,
