country,year,total_population,urban_percent
Nigeria,1960,45053782,15.41
Nigeria,1961,45989310,15.633
Nigeria,1962,46965292,15.858
Nigeria,1963,47973575,16.087
Nigeria,1964,49012016,16.318
Nigeria,1965,50086764,16.551
Nigeria,1966,51188234,16.788
Nigeria,1967,52293065,17.027
Nigeria,1968,53432783,17.269
Nigeria,1969,54631914,17.513
Nigeria,1970,55893838,17.76
Nigeria,1971,57214684,18.151
Nigeria,1972,58601748,18.549
Nigeria,1973,60082139,18.952
Nigeria,1974,61679144,19.363
Nigeria,1975,63410815,19.78
Nigeria,1976,65258009,20.205
Nigeria,1977,67234590,20.636
Nigeria,1978,69326532,21.074
Nigeria,1979,71498242,21.518
Nigeria,1980,73764641,21.97
Nigeria,1981,76068103,22.671
Nigeria,1982,78378701,23.389
Nigeria,1983,80438260,24.122
Nigeria,1984,82526443,24.872
Nigeria,1985,84897973,25.635
Nigeria,1986,87235953,26.414
Nigeria,1987,89591716,27.209
Nigeria,1988,92020090,28.019
Nigeria,1989,94531014,28.842
Nigeria,1990,97120925,29.68
Nigeria,1991,99720162,30.176
Nigeria,1992,102372770,30.677
Nigeria,1993,105122069,31.182
Nigeria,1994,107935714,31.691
Nigeria,1995,110819428,32.205
Nigeria,1996,113754779,32.725
Nigeria,1997,116754792,33.247
Nigeria,1998,119846254,33.773
Nigeria,1999,123047320,34.304
Nigeria,2000,126382494,34.84
Nigeria,2001,129862595,35.669
Nigeria,2002,133471989,36.508
Nigeria,2003,137202644,37.356
Nigeria,2004,141057045,38.212
Nigeria,2005,145017253,39.074
Nigeria,2006,149077334,39.943
Nigeria,2007,153267261,40.819
Nigeria,2008,157595014,41.702
Nigeria,2009,162049464,42.588
Nigeria,2010,166642886,43.48
Nigeria,2011,171379598,44.366
Nigeria,2012,176200625,45.246
Nigeria,2013,181049443,46.118
Nigeria,2014,185896915,46.982
Nigeria,2015,190671878,47.838
Nigeria,2016,195443700,48.683
Nigeria,2017,200254579,49.519
Nigeria,2018,204938755,50.344
Nigeria,2019,209485641,51.157
Nigeria,2020,213996181,51.958
Nigeria,2021,218529286,52.746
Nigeria,2022,223150896,53.521
Nigeria,2023,227882945,54.283
Nigeria,2024,232679478,55.03
